work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-v2, 3, 400, 10, 10, 16, 173.27, 3.83046983, , 0, , 1, 36.4, 36.2, 39.8, 38.8
v2, 3, 400, 10, 10, 16, 305.62, 5.78103056, 16, 0.330309, 19184, 1, 39.8, 38.8, 47.6, 39.6
base-v2, 3, 400, 10, 10, 16, 214.06, 3.95550760, , 0, , 1, 42.8, 39.6, 55.0, 39.2
v2, 3, 400, 10, 10, 16, 304.25, 5.84047459, 18, 0.351754999999969, 21314, 1, 49.6, 39.2, 44.0, 39.4
base-v2, 3, 400, 10, 10, 16, 173.66, 3.80261514, , 0, , 1, 42.2, 39.0, 41.5, 38.2
v2, 3, 400, 10, 10, 16, 247.72, 5.64747610, 20, 0.451837000000012, 23456, 1, 41.2, 38.8, 40.2, 38.8
base-v2, 3, 400, 10, 10, 16, 175.04, 3.81642537, , 0, , 1, 40.4, 38.8, 39.8, 37.8
v2, 3, 400, 10, 10, 16, 247.14, 5.66456093, 17, 0.0813249999999925, 20243, 1, 39.8, 37.8, 40.8, 38.8
base-v2, 3, 400, 10, 10, 16, 171.53, 3.80283910, , 0, , 1, 39.8, 38.8, 44.1, 38.2
v2, 3, 400, 10, 10, 16, 247.70, 5.62458001, 15, 0.175378999999964, 17902, 1, 41.2, 38.8, 40.2, 38.2
base-v2, 3, 400, 10, 10, 16, 166.17, 3.77283163, , 0, , 1, 39.4, 38.8, 40.2, 39.2
v2, 3, 400, 10, 10, 16, 249.22, 5.68213844, 18, 0.608596999999975, 21282, 1, 40.2, 39.2, 43.0, 39.2
base-v2, 3, 400, 10, 10, 16, 168.46, 3.79580381, , 0, , 1, 43.8, 39.2, 44.0, 38.8
v2, 3, 400, 10, 10, 16, 248.65, 5.61583445, 15, 0.248169000000019, 18441, 1, 53.6, 48.5, 41.2, 38.8
base-v2, 3, 400, 10, 10, 16, 163.26, 3.75058459, , 0, , 1, 40.2, 38.8, 40.8, 38.8
v2, 3, 400, 10, 10, 16, 248.24, 5.66151435, 19, 0.653831999999966, 22653, 1, 40.8, 38.8, 41.2, 38.8
base-v2, 3, 400, 10, 10, 16, 167.71, 3.77635825, , 0, , 1, 40.8, 38.8, 43.8, 39.2
v2, 3, 400, 10, 10, 16, 248.11, 5.62157578, 14, 0.32697300000001, 16825, 1, 42.8, 39.8, 41.2, 38.2
base-v2, 3, 400, 10, 10, 16, 169.18, 3.79640561, , 0, , 1, 40.2, 38.8, 44.1, 39.2
v2, 3, 400, 10, 10, 16, 245.72, 5.64286709, 17, 0.430749999999989, 20141, 1, 41.5, 38.8, 40.6, 39.2
base-v2, 3, 400, 10, 10, 16, 164.91, 3.78777395, , 0, , 1, 40.8, 39.2, 42.5, 38.8
v2, 3, 400, 10, 10, 16, 245.56, 5.62541092, 11, 0.214391999999975, 13611, 1, 41.8, 38.8, 40.8, 39.2
base-v2, 3, 400, 10, 10, 16, 165.95, 3.79993723, , 0, , 1, 40.8, 39.2, 42.5, 38.8
v2, 3, 400, 10, 10, 16, 248.19, 5.62484213, 18, 0.587634999999977, 21325, 1, 40.6, 38.8, 41.5, 38.8
base-v2, 3, 400, 10, 10, 16, 184.68, 3.81657463, , 0, , 1, 41.5, 38.2, 41.2, 39.2
v2, 3, 400, 10, 10, 16, 245.58, 5.64759119, 19, 0.373917000000006, 22472, 1, 41.2, 39.6, 40.8, 39.2
base-v2, 3, 400, 10, 10, 16, 167.70, 3.78386691, , 0, , 1, 40.8, 39.6, 42.5, 39.2
v2, 3, 400, 10, 10, 16, 247.19, 5.64397238, 16, 0.490002000000004, 19072, 1, 41.8, 39.2, 41.2, 39.6
base-v2, 3, 400, 10, 10, 16, 168.99, 3.79352640, , 0, , 1, 40.8, 39.2, 42.5, 39.6
v2, 3, 400, 10, 10, 16, 249.36, 5.61567365, 20, 0.326185000000009, 23615, 1, 42.0, 39.6, 40.4, 38.2
base-v2, 3, 400, 10, 10, 16, 163.78, 3.76839545, , 0, , 1, 40.2, 39.2, 41.5, 39.6
v2, 3, 400, 10, 10, 16, 247.55, 5.67391375, 17, 0.830155999999988, 20223, 1, 41.0, 39.2, 42.8, 39.6
base-v2, 3, 400, 10, 10, 16, 164.26, 3.76840674, , 0, , 1, 42.2, 39.2, 41.2, 39.6
v2, 3, 400, 10, 10, 16, 252.98, 5.65569054, 18, 0.371917999999994, 21306, 1, 41.2, 39.6, 40.8, 39.2
base-v2, 3, 400, 10, 10, 16, 172.59, 3.80904725, , 0, , 1, 41.8, 39.6, 41.2, 39.2
v2, 3, 400, 10, 10, 16, 246.45, 5.63082740, 15, 0.164513999999997, 18108, 1, 40.2, 39.2, 40.4, 38.2
base-v2, 3, 400, 10, 10, 16, 163.13, 3.77276495, , 0, , 1, 40.8, 38.8, 42.2, 39.2
v2, 3, 400, 10, 10, 16, 251.37, 5.71890899, 16, 0.497447999999963, 19130, 1, 43.2, 39.6, 41.8, 38.2
base-v2, 3, 400, 10, 10, 16, 167.18, 3.80465646, , 0, , 1, 40.8, 39.2, 44.2, 38.8
v2, 3, 400, 10, 10, 16, 258.53, 5.70806352, 17, 0.629753999999991, 20035, 1, 40.8, 39.2, 41.2, 39.2
base-v2, 3, 400, 10, 10, 16, 172.26, 3.83133265, , 0, , 1, 40.8, 39.2, 42.5, 38.8
v2, 3, 400, 10, 10, 16, 250.60, 5.66280278, 16, 0.850444999999979, 19074, 1, 42.0, 38.8, 41.2, 39.2
base-v2, 3, 400, 10, 10, 16, 167.92, 3.79617788, , 0, , 1, 41.2, 39.2, 43.2, 38.8
v2, 3, 400, 10, 10, 16, 253.93, 5.70953797, 21, 0.78615400000001, 24640, 1, 45.6, 38.8, 40.8, 38.8
base-v2, 3, 400, 10, 10, 16, 171.12, 3.80202713, , 0, , 1, 41.2, 39.6, 42.2, 39.2
v2, 3, 400, 10, 10, 16, 251.76, 5.70989282, 16, 0.0740379999999732, 19263, 1, 41.8, 39.6, 40.8, 39.2
base-v2, 3, 400, 10, 10, 16, 171.68, 3.81634504, , 0, , 1, 40.2, 39.2, 40.2, 38.8
v2, 3, 400, 10, 10, 16, 241.03, 5.59566219, 17, 0.318306000000007, 20187, 1, 42.5, 38.8, 43.5, 39.6
base-v2, 3, 400, 10, 10, 16, 165.11, 3.79016327, , 0, , 1, 43.0, 39.6, 42.2, 39.2
v2, 3, 400, 10, 10, 16, 254.45, 5.69373560, 14, 1.09886999999998, 16792, 1, 42.2, 39.6, 42.2, 40.1
base-v2, 3, 400, 10, 10, 16, 165.03, 3.78173987, , 0, , 1, 41.8, 40.1, 42.2, 39.6
v2, 3, 400, 10, 10, 16, 253.40, 5.63749939, 16, 0.457896000000005, 19815, 1, 43.2, 39.2, 41.2, 40.1
base-v2, 3, 400, 10, 10, 16, 169.89, 3.77789741, , 0, , 1, 41.2, 39.6, 42.8, 41.4
v2, 3, 400, 10, 10, 16, 245.20, 5.59331665, 21, 0.402505000000019, 24768, 1, 41.8, 40.6, 44.1, 40.1
base-v2, 3, 400, 10, 10, 16, 169.86, 3.80854912, , 0, , 1, 45.1, 39.9, 41.8, 39.2
v2, 3, 400, 10, 10, 16, 245.74, 5.64405563, 15, 0.468643999999983, 17919, 1, 41.2, 39.2, 41.5, 39.2
base-v2, 3, 400, 10, 10, 16, 176.44, 3.80778990, , 0, , 1, 41.2, 39.2, 42.0, 39.6
v2, 3, 400, 10, 10, 16, 246.51, 5.68640011, 16, 0.262123999999972, 19017, 1, 41.0, 39.2, 43.2, 39.6
base-v2, 3, 400, 10, 10, 16, 163.51, 3.77380675, , 0, , 1, 41.2, 39.6, 42.5, 39.2
v2, 3, 400, 10, 10, 16, 244.95, 5.70052452, 22, 0.343075999999996, 25742, 1, 41.5, 39.2, 43.2, 39.2
base-v2, 3, 400, 10, 10, 16, 165.85, 3.77155371, , 0, , 1, 42.8, 39.2, 42.2, 40.6
base-v2, 3, 400, 10, 10, 64, 173.68, 3.82009151, , 0, , 1, 41.8, 40.1, 41.8, 38.8
v2, 3, 400, 10, 10, 64, 254.40, 5.61969399, 15, 0.335296999999969, 18264, 1, 41.0, 39.2, 40.8, 39.6
base-v2, 3, 400, 10, 10, 64, 169.31, 3.77451166, , 0, , 1, 40.2, 39.6, 42.2, 40.1
v2, 3, 400, 10, 10, 64, 244.41, 5.65730921, 25, 0.189436999999998, 29196, 1, 41.8, 39.6, 40.8, 39.9
base-v2, 3, 400, 10, 10, 64, 173.38, 3.81246501, , 0, , 1, 41.2, 40.1, 40.2, 39.6
v2, 3, 400, 10, 10, 64, 255.77, 5.62321900, 18, 0.293340000000001, 21339, 1, 40.2, 39.6, 41.5, 39.2
base-v2, 3, 400, 10, 10, 64, 170.28, 3.81157754, , 0, , 1, 40.8, 39.6, 42.0, 39.6
v2, 3, 400, 10, 10, 64, 245.61, 5.66105972, 16, 0.337759000000005, 19217, 1, 40.8, 39.6, 43.0, 39.2
base-v2, 3, 400, 10, 10, 64, 169.78, 3.82202784, , 0, , 1, 41.5, 39.2, 41.2, 38.8
v2, 3, 400, 10, 10, 64, 253.20, 5.71804768, 16, 0.327770999999984, 18939, 1, 40.8, 39.2, 41.2, 39.2
base-v2, 3, 400, 10, 10, 64, 177.21, 3.82455305, , 0, , 1, 41.2, 39.6, 40.8, 39.2
v2, 3, 400, 10, 10, 64, 248.77, 5.61928711, 13, 1.25471999999996, 15799, 1, 42.0, 39.6, 41.0, 38.8
base-v2, 3, 400, 10, 10, 64, 168.94, 3.77991227, , 0, , 1, 41.5, 39.2, 42.8, 39.6
v2, 3, 400, 10, 10, 64, 251.66, 5.64035734, 14, 0.755140999999981, 16763, 1, 42.2, 39.6, 41.2, 39.6
base-v2, 3, 400, 10, 10, 64, 166.11, 3.76812786, , 0, , 1, 41.8, 39.6, 44.1, 39.2
v2, 3, 400, 10, 10, 64, 245.34, 5.60819295, 13, 0.337384999999983, 15811, 1, 43.2, 39.2, 41.0, 39.2
base-v2, 3, 400, 10, 10, 64, 172.51, 3.81341665, , 0, , 1, 41.2, 39.2, 41.8, 39.2
v2, 3, 400, 10, 10, 64, 249.55, 5.63599764, 13, 0.382775999999978, 15650, 1, 40.8, 39.2, 41.8, 39.6
base-v2, 3, 400, 10, 10, 64, 173.45, 3.82160521, , 0, , 1, 40.2, 38.8, 42.0, 39.2
v2, 3, 400, 10, 10, 64, 245.05, 5.65243944, 17, 0.497106999999971, 20083, 1, 40.8, 39.6, 42.0, 39.2
base-v2, 3, 400, 10, 10, 64, 171.93, 3.79771124, , 0, , 1, 41.8, 39.2, 42.2, 39.6
v2, 3, 400, 10, 10, 64, 251.27, 5.63409686, 17, 0.344292999999993, 20188, 1, 42.8, 40.6, 41.5, 39.6
base-v2, 3, 400, 10, 10, 64, 168.15, 3.79048415, , 0, , 1, 41.2, 39.2, 42.8, 40.6
v2, 3, 400, 10, 10, 64, 249.77, 5.64323382, 17, 0.389178000000015, 20879, 1, 41.8, 40.6, 41.5, 39.2
base-v2, 3, 400, 10, 10, 64, 167.49, 3.79744450, , 0, , 1, 41.2, 39.2, 45.9, 39.2
v2, 3, 400, 10, 10, 64, 244.57, 5.60467031, 15, 0.384869999999978, 18094, 1, 43.5, 39.2, 41.2, 39.6
base-v2, 3, 400, 10, 10, 64, 165.50, 3.82167265, , 0, , 1, 41.2, 39.2, 42.0, 38.8
v2, 3, 400, 10, 10, 64, 247.37, 5.67407344, 19, 0.344692000000009, 22493, 1, 41.0, 39.2, 42.8, 39.2
base-v2, 3, 400, 10, 10, 64, 160.81, 3.79394614, , 0, , 1, 41.2, 39.6, 42.8, 39.2
v2, 3, 400, 10, 10, 64, 244.59, 5.69398064, 17, 0.732779999999991, 20081, 1, 41.8, 39.6, 59.5, 39.6
base-v2, 3, 400, 10, 10, 64, 162.80, 3.78869980, , 0, , 1, 61.9, 39.6, 42.8, 39.2
v2, 3, 400, 10, 10, 64, 280.56, 5.78667225, 19, 0.426860999999974, 22523, 1, 42.5, 39.2, 43.2, 39.2
base-v2, 3, 400, 10, 10, 64, 230.87, 3.88762932, , 0, , 1, 43.5, 39.2, 43.6, 40.6
v2, 3, 400, 10, 10, 64, 352.74, 5.86159853, 15, 0.370239999999967, 17910, 1, 42.8, 40.6, 43.2, 40.6
base-v2, 3, 400, 10, 10, 64, 210.09, 3.86738703, , 0, , 1, 41.2, 40.1, 53.8, 53.2
v2, 3, 400, 10, 10, 64, 293.10, 5.74156516, 18, 0.647583999999995, 21254, 1, 56.1, 51.9, 65.9, 40.4
base-v2, 3, 400, 10, 10, 64, 173.85, 3.79816929, , 0, , 1, 66.4, 40.1, 42.8, 40.1
v2, 3, 400, 10, 10, 64, 253.16, 5.69482446, 16, 0.317378000000019, 19019, 1, 42.5, 40.1, 43.0, 39.2
base-v2, 3, 400, 10, 10, 64, 165.34, 3.79615709, , 0, , 1, 42.5, 40.1, 42.8, 39.6
v2, 3, 400, 10, 10, 64, 250.37, 5.63940540, 17, 0.213741999999968, 20330, 1, 41.8, 39.6, 41.5, 39.2
base-v2, 3, 400, 10, 10, 64, 166.12, 3.77755672, , 0, , 1, 41.2, 39.2, 42.5, 39.6
v2, 3, 400, 10, 10, 64, 259.79, 5.64494371, 16, 0.646356999999966, 19027, 1, 44.5, 40.1, 41.2, 39.6
base-v2, 3, 400, 10, 10, 64, 172.85, 3.82917071, , 0, , 1, 41.0, 39.6, 41.0, 38.8
v2, 3, 400, 10, 10, 64, 253.74, 5.64404146, 16, 0.650958000000003, 19225, 1, 41.2, 39.6, 41.0, 39.6
base-v2, 3, 400, 10, 10, 64, 166.77, 3.78186969, , 0, , 1, 41.8, 40.1, 43.2, 39.6
v2, 3, 400, 10, 10, 64, 244.78, 5.66680508, 17, 0.50008600000001, 20215, 1, 43.2, 40.1, 42.8, 39.6
base-v2, 3, 400, 10, 10, 64, 167.57, 3.78464852, , 0, , 1, 42.2, 39.6, 43.0, 40.1
v2, 3, 400, 10, 10, 64, 249.74, 5.62563487, 14, 0.332884999999976, 17028, 1, 41.8, 39.6, 41.2, 39.6
base-v2, 3, 400, 10, 10, 64, 163.89, 3.78543567, , 0, , 1, 41.0, 39.6, 42.5, 39.2
v2, 3, 400, 10, 10, 64, 244.92, 5.65282145, 15, 0.272053999999969, 17892, 1, 42.2, 39.6, 41.8, 40.1
base-v2, 3, 400, 10, 10, 64, 168.55, 3.78237054, , 0, , 1, 41.8, 39.6, 42.0, 40.1
v2, 3, 400, 10, 10, 64, 245.88, 5.59693256, 13, 0.517258999999967, 15719, 1, 43.0, 40.6, 43.2, 39.8
base-v2, 3, 400, 10, 10, 64, 173.04, 3.79537020, , 0, , 1, 42.2, 39.8, 42.8, 39.6
v2, 3, 400, 10, 10, 64, 244.17, 5.58944066, 21, 0.401792999999998, 24804, 2, 42.2, 42.8, 42.5, 39.2
base-v2, 3, 400, 10, 10, 64, 168.65, 3.79357608, , 0, , 1, 44.5, 39.2, 44.2, 39.6
v2, 3, 400, 10, 10, 64, 248.95, 5.66137993, 18, 0.110252000000003, 21902, 1, 43.8, 40.1, 41.8, 39.2
base-v2, 3, 400, 10, 10, 64, 163.68, 3.78536277, , 0, , 1, 42.0, 39.6, 42.5, 39.6
v2, 3, 400, 10, 10, 64, 250.46, 5.66838123, 16, 0.717945999999984, 19369, 1, 42.5, 39.6, 45.0, 40.1
base-v2, 3, 400, 10, 10, 64, 172.09, 3.80497957, , 0, , 1, 42.5, 39.2, 42.2, 39.2
v2, 3, 400, 10, 10, 64, 244.39, 5.66240847, 15, 0.494733999999994, 17997, 1, 41.8, 39.6, 42.0, 39.2
base-v2, 3, 400, 10, 10, 64, 165.59, 3.77618101, , 0, , 1, 41.2, 39.6, 44.6, 39.6
base-v2, 3, 400, 25, 10, 16, 167.56, 3.82586186, , 0, , 1, 41.2, 39.6, 41.0, 38.8
v2, 3, 400, 25, 10, 16, 259.14, 5.69632992, 33, 0.223748000000001, 38464, 1, 41.2, 39.2, 43.0, 39.8
base-v2, 3, 400, 25, 10, 16, 180.47, 3.83291163, , 0, , 1, 42.0, 39.6, 42.0, 39.2
v2, 3, 400, 25, 10, 16, 248.84, 5.64718035, 31, 0.549602999999991, 35887, 1, 42.5, 39.6, 41.5, 39.6
base-v2, 3, 400, 25, 10, 16, 173.05, 3.81060758, , 0, , 1, 41.8, 40.1, 42.8, 39.6
v2, 3, 400, 25, 10, 16, 251.95, 5.65029048, 29, 0.653406000000018, 33836, 1, 42.8, 39.6, 43.0, 39.2
base-v2, 3, 400, 25, 10, 16, 171.50, 3.81709486, , 0, , 1, 41.8, 39.6, 41.2, 39.2
v2, 3, 400, 25, 10, 16, 243.72, 5.61875481, 29, 0.312185999999997, 33641, 1, 41.2, 40.1, 41.5, 38.8
base-v2, 3, 400, 25, 10, 16, 166.92, 3.75643215, , 0, , 1, 40.8, 39.2, 42.8, 39.2
v2, 3, 400, 25, 10, 16, 245.31, 5.62291344, 34, 0.286716000000013, 39304, 1, 41.2, 39.6, 40.8, 39.2
base-v2, 3, 400, 25, 10, 16, 165.59, 3.79300834, , 0, , 1, 40.8, 39.6, 41.8, 39.6
v2, 3, 400, 25, 10, 16, 257.07, 5.65915393, 32, 0.335804999999993, 36888, 1, 41.5, 40.6, 41.8, 40.6
base-v2, 3, 400, 25, 10, 16, 166.61, 3.82023804, , 0, , 1, 43.6, 40.6, 41.5, 39.2
v2, 3, 400, 25, 10, 16, 251.58, 5.68217031, 33, 0.706788000000017, 38055, 1, 41.2, 40.1, 42.2, 39.6
base-v2, 3, 400, 25, 10, 16, 166.99, 3.79417661, , 0, , 1, 41.8, 40.1, 45.9, 40.1
v2, 3, 400, 25, 10, 16, 253.62, 5.63168186, 33, 0.396335999999962, 38177, 1, 44.0, 40.6, 42.5, 40.6
base-v2, 3, 400, 25, 10, 16, 163.90, 3.78484933, , 0, , 1, 41.5, 40.1, 43.2, 39.6
v2, 3, 400, 25, 10, 16, 252.11, 5.66129263, 32, 0.596811000000002, 37019, 1, 41.2, 39.2, 42.8, 39.6
base-v2, 3, 400, 25, 10, 16, 164.38, 3.77863802, , 0, , 1, 42.2, 40.1, 41.8, 40.1
v2, 3, 400, 25, 10, 16, 252.71, 5.63742439, 29, 0.519236999999976, 33656, 1, 41.5, 39.6, 41.8, 39.6
base-v2, 3, 400, 25, 10, 16, 168.82, 3.80216166, , 0, , 1, 41.8, 40.1, 41.2, 39.6
v2, 3, 400, 25, 10, 16, 255.04, 5.71119622, 33, 0.352102000000002, 38184, 1, 42.8, 40.1, 40.8, 38.8
base-v2, 3, 400, 25, 10, 16, 173.19, 3.80888209, , 0, , 1, 40.2, 39.2, 40.8, 39.6
v2, 3, 400, 25, 10, 16, 247.45, 5.66625553, 28, 0.639937999999972, 32445, 1, 43.2, 39.9, 44.0, 40.1
base-v2, 3, 400, 25, 10, 16, 165.16, 3.80240766, , 0, , 1, 42.5, 39.6, 45.0, 39.6
v2, 3, 400, 25, 10, 16, 248.79, 5.67855096, 30, 0.242399999999975, 35007, 1, 43.6, 40.6, 47.6, 39.6
base-v2, 3, 400, 25, 10, 16, 166.76, 3.78348616, , 0, , 1, 43.2, 39.6, 42.8, 40.1
v2, 3, 400, 25, 10, 16, 250.49, 5.60459737, 32, 0.268022999999971, 36993, 1, 42.0, 40.1, 42.5, 39.0
base-v2, 3, 400, 25, 10, 16, 167.26, 3.79253778, , 0, , 1, 41.8, 39.6, 57.0, 39.6
v2, 3, 400, 25, 10, 16, 260.04, 5.72764760, 35, 0.524665999999968, 40373, 1, 63.9, 40.1, 41.8, 40.1
base-v2, 3, 400, 25, 10, 16, 167.45, 3.80447429, , 0, , 1, 41.8, 39.6, 41.0, 38.8
v2, 3, 400, 25, 10, 16, 246.49, 5.64125350, 36, 0.228238999999974, 41525, 1, 40.8, 38.8, 41.2, 38.8
base-v2, 3, 400, 25, 10, 16, 168.75, 3.82559176, , 0, , 1, 40.8, 39.2, 41.2, 39.2
v2, 3, 400, 25, 10, 16, 242.21, 5.68503023, 32, 0.118294999999989, 36926, 1, 41.2, 39.6, 44.0, 39.6
base-v2, 3, 400, 25, 10, 16, 175.61, 3.83117662, , 0, , 1, 42.5, 39.6, 41.2, 39.2
v2, 3, 400, 25, 10, 16, 243.19, 5.68516967, 33, 0.614840000000015, 38139, 1, 40.8, 39.2, 43.2, 39.2
base-v2, 3, 400, 25, 10, 16, 169.43, 3.80624915, , 0, , 1, 42.8, 40.1, 41.2, 39.2
v2, 3, 400, 25, 10, 16, 244.43, 5.67017971, 34, 0.143126999999993, 39242, 1, 41.2, 40.1, 41.8, 39.2
base-v2, 3, 400, 25, 10, 16, 161.97, 3.80047890, , 0, , 1, 40.8, 39.6, 64.9, 39.6
v2, 3, 400, 25, 10, 16, 248.51, 5.63654735, 33, 0.650170000000003, 38312, 1, 72.8, 40.1, 41.5, 39.2
base-v2, 3, 400, 25, 10, 16, 165.15, 3.78483882, , 0, , 1, 42.0, 40.1, 42.2, 39.2
v2, 3, 400, 25, 10, 16, 247.61, 5.70106573, 29, 0.708094000000017, 33920, 1, 42.2, 40.4, 42.5, 40.1
base-v2, 3, 400, 25, 10, 16, 164.07, 3.78205555, , 0, , 1, 43.5, 40.1, 42.2, 39.6
v2, 3, 400, 25, 10, 16, 243.11, 5.62633799, 34, 0.198797000000013, 39276, 1, 43.2, 38.8, 41.0, 39.2
base-v2, 3, 400, 25, 10, 16, 178.21, 3.80842314, , 0, , 1, 41.0, 39.2, 40.8, 39.6
v2, 3, 400, 25, 10, 16, 244.82, 5.62548348, 31, 0.322254999999984, 35770, 1, 42.5, 39.2, 41.5, 39.2
base-v2, 3, 400, 25, 10, 16, 162.78, 3.78062541, , 0, , 1, 41.8, 39.2, 56.5, 40.1
v2, 3, 400, 25, 10, 16, 245.62, 5.69585422, 33, 0.137295999999992, 38102, 1, 62.9, 40.1, 41.8, 39.6
base-v2, 3, 400, 25, 10, 16, 165.27, 3.79721360, , 0, , 1, 41.5, 39.6, 42.5, 39.6
v2, 3, 400, 25, 10, 16, 244.35, 5.67393426, 33, 0.149588999999992, 38221, 1, 42.0, 39.6, 41.8, 40.1
base-v2, 3, 400, 25, 10, 16, 162.36, 3.78401531, , 0, , 1, 41.2, 39.6, 42.8, 39.2
v2, 3, 400, 25, 10, 16, 243.61, 5.68207539, 29, 0.310473999999999, 34013, 1, 43.5, 39.2, 42.5, 39.6
base-v2, 3, 400, 25, 10, 16, 162.98, 3.79318065, , 0, , 1, 41.2, 39.6, 43.0, 39.2
v2, 3, 400, 25, 10, 16, 249.21, 5.68142973, 31, 0.465288999999984, 35868, 1, 40.8, 39.2, 42.2, 39.2
base-v2, 3, 400, 25, 10, 16, 177.42, 3.82588887, , 0, , 1, 42.2, 39.6, 45.2, 39.4
v2, 3, 400, 25, 10, 16, 248.00, 5.66677344, 28, 0.269977999999981, 32486, 1, 41.8, 39.9, 41.2, 39.2
base-v2, 3, 400, 25, 10, 16, 172.21, 3.82883910, , 0, , 1, 41.5, 39.6, 41.2, 39.6
v2, 3, 400, 25, 10, 16, 244.97, 5.67583229, 29, 0.296594999999968, 33879, 1, 41.2, 39.6, 42.0, 39.6
base-v2, 3, 400, 25, 10, 16, 167.65, 3.79162499, , 0, , 1, 41.2, 39.6, 43.5, 39.2
v2, 3, 400, 25, 10, 16, 251.33, 5.62105328, 30, 0.419619000000012, 35046, 1, 42.5, 39.6, 41.5, 39.2
base-v2, 3, 400, 25, 10, 16, 169.59, 3.80800102, , 0, , 1, 40.8, 39.6, 40.8, 39.6
base-v2, 3, 400, 25, 10, 64, 169.75, 3.80162439, , 0, , 2, 41.2, 57.1, 43.2, 39.6
v2, 3, 400, 25, 10, 64, 253.45, 5.67724354, 31, 0.536370999999974, 35887, 1, 42.2, 40.1, 42.5, 39.6
base-v2, 3, 400, 25, 10, 64, 168.19, 3.81415218, , 0, , 1, 42.5, 40.1, 41.8, 39.2
v2, 3, 400, 25, 10, 64, 245.84, 5.68830389, 32, 0.120580000000018, 37006, 1, 41.8, 39.2, 42.8, 39.2
base-v2, 3, 400, 25, 10, 64, 168.69, 3.79157140, , 0, , 1, 43.6, 39.6, 42.2, 40.1
v2, 3, 400, 25, 10, 64, 252.95, 5.63894381, 30, 0.253699999999981, 34672, 1, 43.2, 40.1, 41.5, 39.6
base-v2, 3, 400, 25, 10, 64, 168.40, 3.78243755, , 0, , 1, 41.2, 40.1, 42.8, 40.1
v2, 3, 400, 25, 10, 64, 251.98, 5.67355173, 31, 0.366701999999975, 35975, 1, 45.5, 40.1, 42.2, 40.1
base-v2, 3, 400, 25, 10, 64, 164.47, 3.76771866, , 0, , 1, 41.8, 39.6, 42.0, 39.6
v2, 3, 400, 25, 10, 64, 251.80, 5.65147670, 32, 0.398275000000012, 37388, 1, 42.0, 39.6, 43.0, 40.1
base-v2, 3, 400, 25, 10, 64, 165.52, 3.80476617, , 0, , 1, 45.9, 40.1, 41.0, 39.2
v2, 3, 400, 25, 10, 64, 248.47, 5.62493839, 28, 0.597136999999975, 32379, 1, 43.5, 39.6, 44.5, 39.6
base-v2, 3, 400, 25, 10, 64, 172.00, 3.82276121, , 0, , 1, 41.5, 39.2, 44.0, 39.2
v2, 3, 400, 25, 10, 64, 244.36, 5.61744421, 30, 0.332335999999998, 34686, 1, 42.0, 39.6, 41.2, 39.2
base-v2, 3, 400, 25, 10, 64, 163.78, 3.78057092, , 0, , 1, 41.2, 39.2, 43.0, 40.1
v2, 3, 400, 25, 10, 64, 251.85, 5.71823580, 30, 0.361251999999979, 34719, 1, 41.8, 39.6, 41.8, 39.6
base-v2, 3, 400, 25, 10, 64, 166.26, 3.78910236, , 0, , 1, 41.2, 39.6, 43.5, 39.6
v2, 3, 400, 25, 10, 64, 245.99, 5.63857560, 35, 0.121743999999978, 40645, 1, 42.2, 39.2, 41.2, 39.9
base-v2, 3, 400, 25, 10, 64, 168.66, 3.82580203, , 0, , 1, 40.2, 39.6, 41.8, 39.2
v2, 3, 400, 25, 10, 64, 249.77, 5.67853635, 30, 0.315832, 35060, 1, 41.8, 39.6, 43.0, 40.1
base-v2, 3, 400, 25, 10, 64, 171.19, 3.81680584, , 0, , 1, 42.2, 39.6, 41.2, 38.8
v2, 3, 400, 25, 10, 64, 244.12, 5.68127091, 34, 0.224594999999965, 39288, 1, 42.8, 39.2, 43.2, 39.6
base-v2, 3, 400, 25, 10, 64, 168.27, 3.79314927, , 0, , 1, 42.5, 39.2, 46.1, 39.6
v2, 3, 400, 25, 10, 64, 243.70, 5.68606007, 28, 0.326291999999967, 32479, 1, 43.0, 39.4, 42.8, 39.6
base-v2, 3, 400, 25, 10, 64, 160.71, 3.78479701, , 0, , 1, 44.2, 40.1, 42.8, 39.6
v2, 3, 400, 25, 10, 64, 246.65, 5.66237123, 33, 0.170263999999975, 38430, 1, 41.2, 39.6, 41.8, 39.6
base-v2, 3, 400, 25, 10, 64, 166.05, 3.78441638, , 0, , 1, 40.8, 39.6, 69.9, 41.1
v2, 3, 400, 25, 10, 64, 247.00, 5.64315353, 30, 0.325917000000004, 34660, 1, 73.2, 40.6, 40.8, 39.2
base-v2, 3, 400, 25, 10, 64, 167.59, 3.78059148, , 0, , 1, 40.8, 39.2, 42.2, 40.6
v2, 3, 400, 25, 10, 64, 247.26, 5.68415151, 31, 0.35084599999999, 35871, 1, 41.8, 40.1, 41.2, 39.2
base-v2, 3, 400, 25, 10, 64, 164.10, 3.78113169, , 0, , 1, 40.8, 39.2, 42.5, 39.6
v2, 3, 400, 25, 10, 64, 244.11, 5.67865252, 30, 0.313842999999963, 34745, 1, 42.2, 40.1, 43.2, 39.2
base-v2, 3, 400, 25, 10, 64, 171.86, 3.80319158, , 0, , 1, 42.5, 39.2, 40.6, 40.1
